ID,Local_ID,Language_ID,Parameter_ID,Value,Form,Segments,Comment,Source,Cognacy,Loan,Graphemes,Profile,CV_Segments
H-0_carpenter-1,,H,0_carpenter,āč,āč,aː t͡ʃ,,wot,1,true,^ āč $,default,aː t͡ʃ
EAH-0_carpenter-1,,EAH,0_carpenter,aγači,aγači,a ɣ a t͡ʃ i,,wot,1,true,^ aγači $,default,a ɣ a t͡ʃ i
WOT-0_carpenter-1,,WOT,0_carpenter,aγaččï,aγaččï,a ɣ a t͡ʃ t͡ʃ ɯ,,wot,1,true,^ aγaččï $,default,a ɣ a t͡ʃ.t͡ʃ ɯ
H-1_cannoncatapult-1,,H,1_cannoncatapult,ādʹū,ādʹū,aː ɟ uː,,wot,2,true,^ ādʹū $,default,aː ɟ uː
OH-1_cannoncatapult-1,,OH,1_cannoncatapult,āldʹū,āldʹū,aː l ɟ uː,,wot,2,true,^ āldʹū $,default,aː l.ɟ uː
LAH-1_cannoncatapult-1,,LAH,1_cannoncatapult,aldau̯,aldau̯,a l d a w,,wot,2,true,^ aldau̯ $,default,a l.d a w
EAH-1_cannoncatapult-1,,EAH,1_cannoncatapult,aldaγ,aldaγ,a l d a ɣ,,wot,2,true,^ aldaγ $,default,a l.d a ɣ
WOT-1_cannoncatapult-1,,WOT,1_cannoncatapult,aldaγ,aldaγ,a l d a ɣ,,wot,2,true,^ aldaγ $,default,a l.d a ɣ
H-2_tofondlepetcaress-1,,H,2_tofondlepetcaress,åynāroz,åynāroz,ɒ j n aː r o z,,wot,3,true,^ åynāroz $,default,ɒ j.n aː r o z
EAH-2_tofondlepetcaress-1,,EAH,2_tofondlepetcaress,ayan,ayan,a j a n,,wot,3,true,^ ayan $,default,a j a n
WOT-2_tofondlepetcaress-1,,WOT,2_tofondlepetcaress,ayan,ayan,a j a n,,wot,3,true,^ ayan $,default,a j a n
H-6_streamcurrent-1,,H,6_streamcurrent,ākoš,ākoš,aː k o ʃ,,wot,4,true,^ ākoš $,default,aː k o ʃ
WOT-6_streamcurrent-1,,WOT,6_streamcurrent,akïš,akïš,a k ɯ ʃ,,wot,4,true,^ akïš $,default,a k ɯ ʃ
H-6_streamcurrent-2,,H,6_streamcurrent,ākoš,ākoš,aː k o ʃ,,wot,5,true,^ ākoš $,default,aː k o ʃ
WOT-6_streamcurrent-2,,WOT,6_streamcurrent,agïš,agïš,a ɡ ɯ ʃ,,wot,5,true,^ agïš $,default,a ɡ ɯ ʃ
H-6_streamcurrent-3,,H,6_streamcurrent,āgoš,āgoš,aː ɡ o ʃ,,wot,6,true,^ āgoš $,default,aː ɡ o ʃ
WOT-6_streamcurrent-3,,WOT,6_streamcurrent,akïš,akïš,a k ɯ ʃ,,wot,6,true,^ akïš $,default,a k ɯ ʃ
H-6_streamcurrent-4,,H,6_streamcurrent,āgoš,āgoš,aː ɡ o ʃ,,wot,7,true,^ āgoš $,default,aː ɡ o ʃ
WOT-6_streamcurrent-4,,WOT,6_streamcurrent,agïš,agïš,a ɡ ɯ ʃ,,wot,7,true,^ agïš $,default,a ɡ ɯ ʃ
H-7_falseimitation-1,,H,7_falseimitation,āl,āl,aː l,,wot,8,true,^ āl $,default,aː l
EAH-7_falseimitation-1,,EAH,7_falseimitation,āl,āl,aː l,,wot,8,true,^ āl $,default,aː l
WOT-7_falseimitation-1,,WOT,7_falseimitation,al,al,a l,,wot,8,true,^ al $,default,a l
H-11_piedofananimalscoat-1,,H,11_piedofananimalscoat,ålåč,ålåč,ɒ l ɒ t͡ʃ,,wot,9,true,^ ålåč $,default,ɒ l ɒ t͡ʃ
EAH-11_piedofananimalscoat-1,,EAH,11_piedofananimalscoat,alač,alač,a l a t͡ʃ,,wot,9,true,^ alač $,default,a l a t͡ʃ
WOT-11_piedofananimalscoat-1,,WOT,11_piedofananimalscoat,alačï,alačï,a l a t͡ʃ ɯ,,wot,9,true,^ alačï $,default,a l a t͡ʃ ɯ
H-11_piedofananimalscoat-2,,H,11_piedofananimalscoat,ålåč,ålåč,ɒ l ɒ t͡ʃ,,wot,10,true,^ ålåč $,default,ɒ l ɒ t͡ʃ
EAH-11_piedofananimalscoat-2,,EAH,11_piedofananimalscoat,alač,alač,a l a t͡ʃ,,wot,10,true,^ alač $,default,a l a t͡ʃ
WOT-11_piedofananimalscoat-2,,WOT,11_piedofananimalscoat,alaču,alaču,a l a t͡ʃ u,,wot,10,true,^ alaču $,default,a l a t͡ʃ u
H-11_piedofananimalscoat-3,,H,11_piedofananimalscoat,ålåč,ålåč,ɒ l ɒ t͡ʃ,,wot,11,true,^ ålåč $,default,ɒ l ɒ t͡ʃ
EAH-11_piedofananimalscoat-3,,EAH,11_piedofananimalscoat,alač,alač,a l a t͡ʃ,,wot,11,true,^ alač $,default,a l a t͡ʃ
WOT-11_piedofananimalscoat-3,,WOT,11_piedofananimalscoat,alačo,alačo,a l a t͡ʃ o,,wot,11,true,^ alačo $,default,a l a t͡ʃ o
